ProductID,Product_name,Month,Stock_level
P001,Product 001,2023-01-01,219
P002,Product 002,2023-01-01,200
P003,Product 003,2023-01-01,232
P004,Product 004,2023-01-01,518
P005,Product 005,2023-01-01,100
P006,Product 006,2023-01-01,139
P007,Product 007,2023-01-01,399
P008,Product 008,2023-01-01,528
P009,Product 009,2023-01-01,523
P010,Product 010,2023-01-01,206
P011,Product 011,2023-01-01,308
P012,Product 012,2023-01-01,464
P013,Product 013,2023-01-01,399
P014,Product 014,2023-01-01,166
P015,Product 015,2023-01-01,615
P016,Product 016,2023-01-01,286
P017,Product 017,2023-01-01,136
P018,Product 018,2023-01-01,106
P019,Product 019,2023-01-01,144
P020,Product 020,2023-01-01,932
P021,Product 021,2023-01-01,152
P022,Product 022,2023-01-01,139
P023,Product 023,2023-01-01,136
P024,Product 024,2023-01-01,110
P025,Product 025,2023-01-01,249
P026,Product 026,2023-01-01,540
P027,Product 027,2023-01-01,260
P028,Product 028,2023-01-01,364
P029,Product 029,2023-01-01,220
P030,Product 030,2023-01-01,533
P031,Product 031,2023-01-01,387
P032,Product 032,2023-01-01,92
P033,Product 033,2023-01-01,678
P034,Product 034,2023-01-01,560
P035,Product 035,2023-01-01,464
P036,Product 036,2023-01-01,81
P037,Product 037,2023-01-01,584
P038,Product 038,2023-01-01,270
P039,Product 039,2023-01-01,740
P040,Product 040,2023-01-01,248
P041,Product 041,2023-01-01,182
P042,Product 042,2023-01-01,188
P043,Product 043,2023-01-01,781
P044,Product 044,2023-01-01,309
P045,Product 045,2023-01-01,141
P046,Product 046,2023-01-01,419
P047,Product 047,2023-01-01,311
P048,Product 048,2023-01-01,227
P049,Product 049,2023-01-01,384
P050,Product 050,2023-01-01,150
P051,Product 051,2023-01-01,167
P052,Product 052,2023-01-01,290
P053,Product 053,2023-01-01,202
P054,Product 054,2023-01-01,423
P055,Product 055,2023-01-01,475
P056,Product 056,2023-01-01,454
P057,Product 057,2023-01-01,243
P058,Product 058,2023-01-01,337
P059,Product 059,2023-01-01,265
P060,Product 060,2023-01-01,616
P061,Product 061,2023-01-01,192
P062,Product 062,2023-01-01,171
P063,Product 063,2023-01-01,709
P064,Product 064,2023-01-01,367
